V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
340	60	189	234	321	260	184	40	358	267	154	68	244	272	320
4	222	190	300	95	394	73	155	70	392	21	241	66	295	175
387	18	100	357	157	46	88	287	8	37	68	254	361	164	228
157	105	283	149	4	295	210	328	10	341	325	305	376	108	394
14	201	342	8	36	400	139	181	319	327	232	393	298	290	169
374	385	302	64	388	184	315	300	223	399	125	336	319	78	231
109	353	165	257	143	177	187	349	213	103	392	69	283	94	373
336	247	128	88	25	322	357	306	200	319	150	193	10	152	252
114	239	120	176	59	168	64	372	94	14	6	190	69	293	362
77	292	83	245	19	240	137	314	26	39	202	197	237	98	241
26	133	122	103	290	92	324	214	331	9	38	257	208	300	226
11	302	236	178	187	14	107	218	335	267	127	352	219	274	346
170	96	155	266	278	130	223	124	112	297	209	377	294	248	192
4	135	339	24	99	192	216	82	10	297	377	166	160	300	73
36	25	193	256	320	351	243	226	368	329	120	380	392	254	333
135	376	265	140	332	186	200	239	31	72	266	217	29	392	157
171	315	379	11	330	198	165	264	286	341	42	52	126	159	194
192	309	158	53	343	129	107	383	26	387	90	396	144	360	84
160	275	180	344	268	84	6	195	365	203	213	36	225	26	329
345	52	271	243	376	94	74	358	392	296	282	71	202	170	398
265	242	61	87	289	54	209	101	72	343	350	276	351	337	59
180	73	251	273	285	401	139	15	270	227	230	359	217	284	84
390	7	341	60	52	362	171	211	59	159	281	340	45	172	232
230	121	192	176	376	81	360	308	69	179	165	302	256	76	268
57	261	65	25	277	260	55	34	21	79	391	357	20	115	229
280	197	292	336	128	9	398	241	118	314	282	157	86	237	65
35	116	318	92	309	285	142	32	351	282	152	240	39	225	16
105	143	61	64	29	228	109	69	266	180	235	247	196	244	376
179	196	372	362	5	145	105	321	42	310	328	136	377	232	387
152	107	394	119	20	305	388	45	40	122	46	43	193	209	86
121	152	235	213	15	229	219	1	224	277	194	292	342	68	332
170	168	384	338	99	347	23	37	349	1	237	299	205	10	209
198	153	32	356	282	276	287	13	209	395	249	143	306	296	18
237	102	65	203	339	42	295	337	165	253	82	22	379	285	122
124	112	371	171	252	145	189	148	322	346	210	310	381	9	382
146	327	277	244	138	91	238	101	203	60	314	310	343	379	50
239	135	46	148	367	393	321	152	16	378	118	189	6	158	76
182	2	168	334	190	358	211	112	17	166	350	247	321	400	287
170	113	252	144	141	302	106	220	388	97	169	130	255	68	126
244	7	229	212	242	16	280	148	385	181	155	299	8	245	136
163	14	96	49	187	182	2	180	394	215	129	387	305	107	302
304	173	181	139	273	38	341	66	80	199	157	19	127	145	313
356	331	266	279	259	131	295	174	213	292	339	132	146	367	61
258	127	231	35	23	180	65	14	182	139	89	190	244	382	188
341	286	131	152	116	242	1	124	395	5	35	145	84	224	141
387	352	164	282	139	251	268	314	186	188	283	301	357	370	199
382	159	213	400	97	313	234	160	30	280	124	256	296	325	47
254	138	150	226	355	148	272	287	24	41	362	322	231	15	21
394	316	9	89	266	110	215	163	115	30	41	274	27	303	314
40	237	192	362	296	71	51	195	310	4	21	268	331	79	206
56	150	277	129	77	214	99	304	219	3	142	183	11	158	131
302	343	301	150	249	60	353	221	51	82	116	120	317	151	155
112	121	300	285	141	239	163	175	400	311	96	336	110	373	284
115	5	354	224	102	384	373	276	272	267	161	202	10	41	288
300	180	160	31	218	268	345	291	302	382	161	92	358	253	181
379	197	90	267	94	348	174	127	182	322	279	79	278	142	9
207	328	364	61	373	309	59	166	337	160	179	87	334	110	276
74	331	6	277	314	246	134	109	12	313	213	253	349	152	401
47	365	85	239	210	182	303	144	43	300	68	392	21	110	58
322	4	265	78	34	76	143	307	289	7	320	297	318	183	321
199	275	276	191	299	4	246	61	44	344	75	159	391	301	20
326	210	244	82	163	386	133	352	202	152	353	271	200	52	252
25	101	112	227	372	269	374	149	158	86	116	221	169	145	203
93	50	196	347	56	187	91	169	204	313	89	321	178	224	47
276	141	293	353	302	364	359	107	363	18	171	291	197	309	317
358	119	271	402	313	145	257	93	403	71	174	138	286	30	62
172	341	20	86	299	270	240	80	121	62	66	378	63	316	238
116	58	167	371	76	324	34	386	254	268	385	382	171	342	221
2	162	130	69	156	122	177	94	265	220	392	215	3	268	339
56	376	360	152	74	313	11	40	336	34	75	9	172	295	183
124	142	73	95	155	333	139	336	144	60	104	384	87	389	107
96	235	58	53	173	396	174	314	263	87	376	382	54	6	150
189	376	170	39	46	382	108	16	236	365	397	78	322	107	119
152	192	328	361	35	362	194	38	234	374	127	274	6	355	223
213	312	41	329	99	48	126	21	92	190	341	83	9	389	208
29	84	159	64	373	183	301	283	240	242	184	66	298	193	312
206	116	133	64	330	59	386	184	103	376	135	150	2	247	401
385	84	286	178	383	382	329	175	184	345	296	380	298	293	249
4	171	294	370	338	253	254	240	277	321	320	15	302	40	196
79	118	256	399	154	299	251	302	207	21	29	52	343	215	67
165	132	127	29	27	306	66	317	396	39	347	374	295	265	84
375	381	18	286	268	315	269	55	148	111	88	208	281	203	68
98	357	324	147	304	344	102	302	80	72	2	136	365	350	105
14	254	144	31	399	299	381	314	210	18	342	85	99	242	98
327	12	301	99	346	335	58	224	204	186	288	285	126	396	325
290	217	115	207	305	248	286	327	126	154	137	81	52	307	329
13	388	385	401	75	11	51	197	129	31	38	355	314	200	365
307	400	123	399	69	157	165	229	147	208	334	193	316	89	126
84	192	200	334	121	180	175	96	91	34	165	46	111	89	321
313	224	81	391	199	371	305	125	351	86	164	241	180	127	399
295	380	13	319	169	3	153	144	314	158	8	366	301	231	397
334	68	343	330	40	347	170	45	144	351	342	41	246	257	57
274	125	183	122	286	200	193	133	276	350	120	188	35	37	138
282	143	43	340	119	15	30	385	55	331	129	332	232	103	187
323	7	2	364	45	15	115	220	118	105	188	335	293	109	19
120	369	255	223	392	183	180	197	60	77	219	297	226	85	397
282	320	295	170	90	397	175	266	322	85	375	310	128	265	149
164	131	394	314	99	238	278	203	264	276	193	361	387	103	283
145	103	287	52	92	149	354	316	126	75	395	121	43	364	78
326	142	63	318	107	134	256	379	240	285	209	338	389	156	145
124	11	334	133	205	110	131	132	190	157	311	4	292	179	56
141	122	330	67	183	366	31	4	98	77	170	215	333	340	262
139	365	394	351	311	104	122	215	89	192	252	13	113	202	292
55	341	155	391	180	121	266	387	81	78	233	4	48	339	368
285	238	235	179	382	289	296	271	239	184	60	48	116	282	80
249	163	279	302	63	393	297	263	294	374	310	157	195	70	180
97	291	339	278	22	280	209	296	375	15	342	95	377	294	211
63	195	380	223	262	12	385	104	155	313	27	293	43	85	5
136	279	5	117	1	66	67	324	205	194	177	11	65	237	100
210	92	237	165	168	43	64	374	201	71	65	18	189	282	128
114	270	124	230	364	353	359	87	178	352	222	324	345	301	402
181	391	164	17	403	295	109	225	347	116	10	264	135	13	248
394	35	112	222	189	217	98	278	71	230	77	76	303	201	312
311	393	239	232	166	47	120	6	339	32	67	345	106	57	251
87	177	152	311	401	12	402	372	123	272	110	263	395	31	330
344	80	4	227	393	63	370	284	242	259	330	113	377	12	286
101	241	301	62	255	233	186	284	141	286	137	214	261	57	362
265	229	295	83	313	18	136	212	46	143	6	12	42	398	105
43	70	182	121	221	172	89	272	113	79	58	310	94	159	356
380	314	29	84	63	203	127	8	222	188	343	35	148	207	100
379	272	199	27	161	299	79	315	247	183	145	217	253	237	115
255	331	9	91	343	338	291	206	59	21	182	323	329	170	340
287	122	313	360	108	145	227	302	29	395	44	148	353	383	232
334	83	201	136	11	208	240	206	287	183	388	24	84	19	181
261	351	294	112	289	337	322	31	125	202	137	136	71	131	89
277	39	114	214	267	53	133	248	77	33	146	208	179	21	149
225	140	293	183	334	246	300	49	35	197	271	244	139	146	192
57	232	381	56	263	58	222	348	7	17	372	67	330	281	267
279	387	267	98	82	378	104	26	12	266	129	247	272	275	17
246	89	88	27	45	286	145	65	73	24	359	93	9	126	52
200	144	395	210	401	277	195	105	336	5	121	57	160	152	196
206	403	124	389	236	238	301	81	114	37	125	267	67	309	180
125	323	103	338	348	242	303	178	292	129	110	132	236	267	302
109	79	364	373	91	159	112	29	54	217	300	214	268	155	81
30	270	152	17	381	266	43	264	68	353	297	217	135	376	79
290	365	302	29	286	227	251	235	4	191	95	373	105	379	293
296	135	11	385	234	353	287	238	369	49	299	362	151	157	79
5	389	97	51	399	265	298	357	275	312	206	377	370	144	296
272	312	344	225	65	143	239	257	398	314	206	302	329	342	54
100	147	226	63	308	1	296	320	310	344	266	202	101	272	403
215	367	248	160	139	48	276	255	287	29	187	38	206	113	34
68	345	159	278	41	227	173	342	284	373	330	64	81	240	175
22	313	129	117	198	254	265	246	361	206	334	179	316	359	394
99	316	40	27	333	289	217	259	88	230	58	90	191	87	231
391	98	292	95	126	109	21	54	248	257	178	380	40	272	106
212	322	176	181	14	177	54	122	105	79	85	236	399	337	23
205	275	401	154	233	72	216	83	372	98	272	370	355	356	169
125	197	332	104	69	1	141	62	77	164	63	220	28	186	176
334	118	241	262	156	111	363	255	392	1	400	46	190	160	57
297	294	387	209	19	114	143	263	119	395	6	31	120	196	269
380	132	308	368	201	379	213	139	261	258	159	60	333	324	58
345	26	110	264	359	389	27	358	296	55	223	354	77	166	356
94	336	164	59	333	154	195	214	373	112	151	21	102	158	258
353	110	13	45	302	37	39	145	287	74	251	319	184	174	12
51	73	266	208	383	27	10	273	310	313	375	83	126	347	125
218	298	264	74	87	272	352	167	356	45	181	227	196	94	199
138	184	297	372	382	8	306	199	90	29	290	28	402	301	12
384	340	64	348	209	329	176	402	179	1	78	14	378	19	373
115	212	12	197	350	277	387	292	123	203	6	331	47	46	236
20	30	98	285	359	288	83	145	309	91	353	94	137	84	390
99	176	269	226	121	67	306	97	318	383	377	91	222	76	200
77	204	104	291	400	363	266	309	101	257	80	103	2	66	49
375	6	259	272	227	13	311	80	365	268	15	336	149	178	148
285	121	170	319	216	125	379	41	221	342	371	135	266	238	75
301	212	27	380	276	227	88	79	93	19	286	382	135	86	203
111	333	350	224	363	132	153	240	313	290	347	381	190	278	285
287	65	272	57	230	395	356	9	81	147	303	140	291	258	229
36	58	387	26	329	334	54	145	112	338	240	192	99	118	189
178	126	368	168	341	33	389	345	113	280	38	30	385	43	27
356	203	366	90	281	284	58	132	69	245	166	255	347	14	317
342	364	200	385	384	86	307	31	140	98	51	135	153	327	139
235	202	373	63	218	345	309	59	96	379	279	243	83	304	23
7	370	292	12	392	125	69	341	76	155	111	158	216	137	175
324	302	379	316	250	343	397	94	319	84	157	337	51	36	175
285	1	141	317	29	336	230	172	259	217	100	121	303	90	278
162	144	220	81	72	171	110	234	229	247	77	223	242	76	148
370	310	275	157	97	272	297	134	108	343	217	79	120	264	109
64	63	113	335	55	6	38	93	21	288	188	399	216	191	318
206	15	235	371	175	290	140	53	294	196	86	193	326	321	391
23	117	366	2	74	235	353	394	101	68	308	50	389	211	355
402	51	358	279	399	35	75	30	165	315	250	326	156	218	369
373	306	47	170	16	41	293	75	40	146	294	335	24	302	164
217	328	94	186	52	195	333	368	278	188	331	260	16	269	272
179	113	352	118	80	96	282	25	159	318	10	167	290	46	203
396	323	195	334	64	216	92	386	43	80	61	265	259	343	389
292	89	154	31	86	16	130	208	160	23	346	337	253	152	136
176	263	243	139	217	373	252	13	214	316	22	279	199	19	130
316	92	165	32	156	96	200	28	256	179	355	64	154	1	19
384	124	345	213	189	172	8	120	72	334	232	110	176	205	23
376	92	210	216	221	369	182	152	312	27	320	191	272	33	68
22	244	376	76	396	205	371	33	148	167	54	53	257	32	158
370	202	12	319	59	45	338	269	85	95	321	389	1	63	116
393	166	262	240	354	221	172	176	289	122	34	165	387	278	121
114	58	166	294	112	397	237	69	155	256	288	82	358	345	247
334	400	21	364	132	382	373	398	235	183	279	10	338	138	31
38	75	80	139	51	177	128	163	174	22	142	218	387	119	130
277	184	63	346	335	302	196	204	153	166	44	47	9	175	238
158	54	92	234	374	90	136	203	30	372	399	187	336	228	48
297	372	167	341	209	241	88	379	144	230	219	394	169	183	206
281	101	4	254	175	40	402	264	346	323	67	80	115	313	64
200	23	347	393	211	11	392	304	35	150	336	144	223	342	132
144	252	160	137	25	357	15	21	399	340	39	142	163	78	198
156	377	295	72	220	396	120	288	159	389	283	7	213	146	186
49	260	272	41	237	178	9	238	215	269	63	157	359	111	383
197	230	12	81	84	130	215	287	320	30	254	58	29	363	17
339	387	277	20	142	98	361	195	237	214	87	207	250	357	236
283	253	153	349	400	155	132	34	386	121	234	233	227	3	89
365	189	216	65	53	50	315	231	81	212	217	235	70	130	184
216	370	374	162	247	347	383	206	308	354	67	108	221	171	282
143	337	109	46	375	192	224	374	303	171	54	361	260	4	322
61	232	178	199	122	145	62	94	118	140	142	128	277	81	387
268	42	275	64	314	85	356	209	238	71	215	318	120	249	59
336	272	363	389	330	255	300	49	236	345	234	132	280	25	77
345	294	93	40	19	117	17	122	346	124	308	183	400	377	313
322	190	2	6	133	84	224	373	284	169	352	114	329	230	273
139	173	247	72	363	57	360	375	331	99	161	396	252	212	118
146	197	316	113	341	74	63	347	223	293	111	115	379	16	222
51	268	346	348	264	5	148	26	321	134	400	384	65	326	197
214	124	140	201	290	45	260	159	237	22	144	111	259	14	328
104	331	86	191	8	139	188	271	134	14	34	144	359	181	115
308	345	145	398	29	316	229	265	134	334	96	187	102	56	247
57	84	210	265	320	46	212	192	4	125	169	321	52	237	322
402	210	308	219	124	56	35	360	211	89	159	366	102	167	259
149	175	383	78	264	261	371	129	145	276	213	288	369	188	50
86	398	70	393	400	113	157	284	305	219	3	26	296	233	229
59	343	127	155	369	392	58	367	216	160	241	203	232	217	394
95	285	339	307	379	58	223	202	55	309	142	256	196	314	402
220	108	58	354	277	235	105	107	51	380	238	204	364	118	9
125	51	341	374	251	7	86	333	314	388	194	56	6	117	63
279	234	212	137	364	253	254	280	268	304	350	69	286	345	219
144	228	109	343	388	152	119	24	187	184	46	379	125	77	290
217	141	310	257	240	4	61	60	52	401	89	157	115	158	220
368	139	372	313	249	83	307	51	22	111	67	285	93	239	243
182	88	325	389	41	380	42	62	89	259	175	115	220	303	198
387	139	50	197	374	137	30	308	165	303	184	188	142	187	336
98	145	296	148	96	110	36	90	290	248	242	268	250	184	168
213	150	334	49	162	356	26	400	322	344	191	374	396	212	136
290	215	299	269	128	162	98	341	176	145	319	155	143	383	402
225	182	270	264	50	220	194	222	251	282	289	133	308	313	183
112	348	154	148	97	215	61	377	71	337	183	66	315	93	278
70	12	204	165	107	104	205	135	137	397	2	295	220	18	117
105	163	324	143	276	191	17	254	138	118	131	56	354	375	184
362	171	262	316	280	95	147	80	354	111	334	2	118	18	296
335	224	260	194	272	294	163	270	243	38	354	390	71	156	391
319	349	197	311	301	296	116	77	31	185	252	60	61	15	381
200	219	369	36	199	320	83	156	182	239	46	68	364	132	368
99	46	59	398	27	391	9	80	216	114	67	28	331	193	159
8	318	356	25	382	269	141	274	214	293	254	285	122	197	299
241	382	57	172	143	152	314	63	157	311	26	390	187	355	280
85	373	204	146	11	396	79	402	60	147	348	45	354	368	157
255	331	297	314	185	213	313	234	66	30	251	346	216	360	33
249	201	181	250	188	139	133	224	361	14	36	366	381	173	223
25	60	119	69	141	348	215	234	20	112	378	18	130	271	398
70	376	358	365	189	389	147	218	205	175	241	216	219	391	163
1	121	88	199	397	320	38	257	327	157	147	220	8	345	290
274	208	202	125	217	352	20	120	123	351	285	289	65	109	68
219	372	66	168	235	22	61	257	393	126	169	332	150	267	259
58	51	199	54	389	140	25	172	180	310	13	350	200	139	224
268	370	380	328	401	359	42	135	142	296	227	251	9	246	14
323	265	237	79	174	144	71	106	228	107	158	364	94	111	22
231	192	30	145	151	77	214	230	206	36	120	17	285	237	38
17	128	383	290	156	10	356	73	277	202	365	23	327	2	159
107	101	181	83	3	342	346	167	308	61	388	6	254	294	112
